Id,Label,Weight,color,Type
1351,Joanna Newsom,2.6939655172413796e-05,A,Directed
1352,Johnny Cash,2.6939655172413796e-05,A,Directed
1353,(hed) p.e.,2.6939655172413796e-05,A,Directed
1354,Susan Ashton,2.6939655172413796e-05,A,Directed
1355,Natasha Bedingfield,2.6939655172413796e-05,A,Directed
1356,Andy Griggs,2.6939655172413796e-05,A,Directed
1357,Teena Marie,2.6939655172413796e-05,A,Directed
1358,Terry Reid,2.6939655172413796e-05,A,Directed
1359,L.T.D.,2.6939655172413796e-05,A,Directed
1360,Keith Sweat,2.6939655172413796e-05,A,Directed
1361,Sun,2.6939655172413796e-05,A,Directed
1362,Paris Hilton,2.6939655172413796e-05,A,Directed
1363,The Cadillac Three,2.6939655172413796e-05,A,Directed
1364,Kate Wolf,2.6939655172413796e-05,A,Directed
1365,Stereo MC's,2.6939655172413796e-05,A,Directed
1366,Toto,2.6939655172413796e-05,A,Directed
1367,Karen Akers,2.6939655172413796e-05,A,Directed
1368,Julian Bream,2.6939655172413796e-05,A,Directed
1369,Jamie Principle,2.6939655172413796e-05,A,Directed
1370,Sam Kinison,2.6939655172413796e-05,A,Directed
1371,Elvis Costello & the Attractions,2.6939655172413796e-05,A,Directed
1372,June Christy,2.6939655172413796e-05,A,Directed
1373,Whitesnake,2.6939655172413796e-05,A,Directed
1374,Stan Levey,2.6939655172413796e-05,A,Directed
1375,Shuggie Otis,2.6939655172413796e-05,A,Directed
1376,The Chordettes,2.6939655172413796e-05,A,Directed
1377,Dirty Vegas,2.6939655172413796e-05,A,Directed
1378,Every Time I Die,2.6939655172413796e-05,A,Directed
1379,Great Lake Swimmers,2.6939655172413796e-05,A,Directed
1380,The-Dream,2.6939655172413796e-05,A,Directed
1381,Al Kooper,2.6939655172413796e-05,A,Directed
1382,Lightnin' Hopkins,2.6939655172413796e-05,A,Directed
1383,Deborah Cox,2.6939655172413796e-05,A,Directed
1384,Rosanne Cash,2.6939655172413796e-05,A,Directed
1385,Nick Heyward,2.6939655172413796e-05,A,Directed
1386,The O'Jays,2.6939655172413796e-05,A,Directed
1387,Ivie Anderson,2.6939655172413796e-05,A,Directed
1388,Take 6,2.6939655172413796e-05,A,Directed
1389,The Statler Brothers,2.6939655172413796e-05,A,Directed
1390,Eddie Vedder,2.6939655172413796e-05,A,Directed
1391,Joe Lovano,2.6939655172413796e-05,A,Directed
1392,Keel,2.6939655172413796e-05,A,Directed
1393,KC & the Sunshine Band,2.6939655172413796e-05,A,Directed
1394,Ahmad Jamal,2.6939655172413796e-05,A,Directed
1395,Cat Anderson,2.6939655172413796e-05,A,Directed
1396,The Marcels,2.6939655172413796e-05,A,Directed
1397,BeBe & CeCe Winans,2.6939655172413796e-05,A,Directed
1398,The Avett Brothers,2.6939655172413796e-05,A,Directed
1399,Dr. Lonnie Smith,2.6939655172413796e-05,A,Directed
1400,Gal Costa,2.6939655172413796e-05,A,Directed
1401,Erasure,2.6939655172413796e-05,A,Directed
1402,The Expendables,2.6939655172413796e-05,A,Directed
1403,The White Stripes,2.6939655172413796e-05,A,Directed
1404,O.A.R.,2.6939655172413796e-05,A,Directed
1405,She & Him,2.6939655172413796e-05,A,Directed
1406,Young the Giant,2.6939655172413796e-05,A,Directed
1407,Aslan,2.6939655172413796e-05,A,Directed
1408,Sam Rivers,2.6939655172413796e-05,A,Directed
1409,Jesse Powell,2.6939655172413796e-05,A,Directed
1410,Eddie Floyd,2.6939655172413796e-05,A,Directed
1411,Gene Loves Jezebel,2.6939655172413796e-05,A,Directed
1412,Daniel Lanois,2.6939655172413796e-05,A,Directed
1413,The Birthday Party,2.6939655172413796e-05,A,Directed
1414,John Cale,2.6939655172413796e-05,A,Directed
1415,Giant,2.6939655172413796e-05,A,Directed
1416,Frank Zappa,2.6939655172413796e-05,A,Directed
1417,Bag Raiders,2.6939655172413796e-05,A,Directed
1418,Yngwie Malmsteen,2.6939655172413796e-05,A,Directed
1419,LÃ©o FerrÃ©,2.6939655172413796e-05,A,Directed
1420,Doc Watson,2.6939655172413796e-05,A,Directed
1421,Kaleo,2.6939655172413796e-05,A,Directed
1422,Avenged Sevenfold,2.6939655172413796e-05,A,Directed
1423,Wishbone Ash,2.6939655172413796e-05,A,Directed
1424,Graham Nash,2.6939655172413796e-05,A,Directed
1425,Charlie Barnet,2.6939655172413796e-05,A,Directed
1426,Bill Callahan,2.6939655172413796e-05,A,Directed
1427,Elevation Worship,2.6939655172413796e-05,A,Directed
1428,The Jackson 5,2.6939655172413796e-05,A,Directed
1429,Yeah Yeah Yeahs,2.6939655172413796e-05,A,Directed
1430,Blue Mitchell,2.6939655172413796e-05,A,Directed
1431,American Hi-Fi,2.6939655172413796e-05,A,Directed
1432,Vision,2.6939655172413796e-05,A,Directed
1433,The Manhattan Transfer,2.6939655172413796e-05,A,Directed
1434,David Johansen,2.6939655172413796e-05,A,Directed
1435,Rammstein,2.6939655172413796e-05,A,Directed
1436,Cinderella,2.6939655172413796e-05,A,Directed
1437,Donald Byrd,2.6939655172413796e-05,A,Directed
1438,Paul van Dyk,2.6939655172413796e-05,A,Directed
1439,Jeff Foxworthy,2.6939655172413796e-05,A,Directed
1440,Blossom Dearie,2.6939655172413796e-05,A,Directed
1441,Lighthouse,2.6939655172413796e-05,A,Directed
1442,Alien Ant Farm,2.6939655172413796e-05,A,Directed
1443,Of Mice & Men,2.6939655172413796e-05,A,Directed
1444,The Breeders,2.6939655172413796e-05,A,Directed
1445,Quiet Riot,2.6939655172413796e-05,A,Directed
1446,Piebald,2.6939655172413796e-05,A,Directed
1447,Lee Wiley,2.6939655172413796e-05,A,Directed
1448,Olivia Newton-John,2.6939655172413796e-05,A,Directed
1449,Mahavishnu Orchestra,2.6939655172413796e-05,A,Directed
1450,Voodoo Glow Skulls,2.6939655172413796e-05,A,Directed
1451,Bridgit Mendler,2.6939655172413796e-05,A,Directed
1452,Keller Williams,2.6939655172413796e-05,A,Directed
1453,Thousand Foot Krutch,2.6939655172413796e-05,A,Directed
1454,Kim Weston,2.6939655172413796e-05,A,Directed
1455,Florida Georgia Line,2.6939655172413796e-05,A,Directed
1456,Paul Quinichette,2.6939655172413796e-05,A,Directed
1457,1910 Fruitgum Company,2.6939655172413796e-05,A,Directed
1458,Linton Kwesi Johnson,2.6939655172413796e-05,A,Directed
1459,The Cribs,2.6939655172413796e-05,A,Directed
1460,Julee Cruise,2.6939655172413796e-05,A,Directed
1461,The Knocks,2.6939655172413796e-05,A,Directed
1462,Shaggy,2.6939655172413796e-05,A,Directed
1463,Bette Midler,2.6939655172413796e-05,A,Directed
1464,The Clientele,2.6939655172413796e-05,A,Directed
1465,Kronos Quartet,2.6939655172413796e-05,A,Directed
1466,Mon Rivera,2.6939655172413796e-05,A,Directed
1467,Peter Bjorn and John,2.6939655172413796e-05,A,Directed
1468,Will Downing,2.6939655172413796e-05,A,Directed
1469,John Travolta,2.6939655172413796e-05,A,Directed
1470,Don McLean,2.6939655172413796e-05,A,Directed
1471,Oliver Nelson,2.6939655172413796e-05,A,Directed
1472,Courtney Love,2.6939655172413796e-05,A,Directed
1473,Bulletboys,2.6939655172413796e-05,A,Directed
1474,Gary Stewart,2.6939655172413796e-05,A,Directed
1475,Paul Chambers,2.6939655172413796e-05,A,Directed
1476,Tori Amos,2.6939655172413796e-05,A,Directed
1477,John Mayall & the Bluesbreakers,2.6939655172413796e-05,A,Directed
1478,Phoebe Snow,2.6939655172413796e-05,A,Directed
1479,Beth Carvalho,2.6939655172413796e-05,A,Directed
1480,Chris Young,2.6939655172413796e-05,A,Directed
1481,Louis Jordan,2.6939655172413796e-05,A,Directed
1482,Hoobastank,2.6939655172413796e-05,A,Directed
1483,Jeff Wayne,2.6939655172413796e-05,A,Directed
1484,George Ezra,2.6939655172413796e-05,A,Directed
1485,TonÃ©x,2.6939655172413796e-05,A,Directed
1486,Altered Images,2.6939655172413796e-05,A,Directed
1487,Anita Ward,2.6939655172413796e-05,A,Directed
1488,The Limeliters,2.6939655172413796e-05,A,Directed
1489,Slipknot,2.6939655172413796e-05,A,Directed
1490,Jacques Dutronc,2.6939655172413796e-05,A,Directed
1491,Ben Kweller,2.6939655172413796e-05,A,Directed
1492,E.U.,2.6939655172413796e-05,A,Directed
1493,Hole,2.6939655172413796e-05,A,Directed
1494,Keith Whitley,2.6939655172413796e-05,A,Directed
1495,Frankie Knuckles,2.6939655172413796e-05,A,Directed
1496,Leftover Salmon,2.6939655172413796e-05,A,Directed
1497,Dirty Heads,2.6939655172413796e-05,A,Directed
1498,No Doubt,2.6939655172413796e-05,A,Directed
1499,MiklÃ³s RÃ³zsa,2.6939655172413796e-05,A,Directed
1500,Ricochet,2.6939655172413796e-05,A,Directed
1501,Manfred Mann,2.6939655172413796e-05,A,Directed
1502,Jamie Foxx,2.6939655172413796e-05,A,Directed
1503,Missing Persons,2.6939655172413796e-05,A,Directed
1504,George Strait,2.6939655172413796e-05,A,Directed
1505,The Shangri-Las,2.6939655172413796e-05,A,Directed
1506,Red House Painters,2.6939655172413796e-05,A,Directed
1507,Danny & the Juniors,2.6939655172413796e-05,A,Directed
1508,Toshiko Akiyoshi,2.6939655172413796e-05,A,Directed
1509,Dawn Upshaw,2.6939655172413796e-05,A,Directed
1510,Janis Ian,2.6939655172413796e-05,A,Directed
1511,The Bouncing Souls,2.6939655172413796e-05,A,Directed
1512,Magnus Karlsson,2.6939655172413796e-05,A,Directed
1513,Brian Kennedy,2.6939655172413796e-05,A,Directed
1514,June Carter Cash,2.6939655172413796e-05,A,Directed
1515,Cranes,2.6939655172413796e-05,A,Directed
1516,Lalo Schifrin,2.6939655172413796e-05,A,Directed
1517,Franco De Vita,2.6939655172413796e-05,A,Directed
1518,Bobby Day,2.6939655172413796e-05,A,Directed
1519,AntÃ´nio Carlos Jobim,2.6939655172413796e-05,A,Directed
1520,Alkaline Trio,2.6939655172413796e-05,A,Directed
1521,The Residents,2.6939655172413796e-05,A,Directed
1522,Madeleine Peyroux,2.6939655172413796e-05,A,Directed
1523,Pop Will Eat Itself,2.6939655172413796e-05,A,Directed
1524,Jule Styne,2.6939655172413796e-05,A,Directed
1525,Third World,2.6939655172413796e-05,A,Directed
1526,Ida Maria,2.6939655172413796e-05,A,Directed
1527,The Crests,2.6939655172413796e-05,A,Directed
1528,Trixter,2.6939655172413796e-05,A,Directed
1529,Etta James,2.6939655172413796e-05,A,Directed
1530,Soda Stereo,2.6939655172413796e-05,A,Directed
1531,Kansas,2.6939655172413796e-05,A,Directed
1532,Stray Cats,2.6939655172413796e-05,A,Directed
1533,Jai Uttal,2.6939655172413796e-05,A,Directed
1534,Bent,2.6939655172413796e-05,A,Directed
1535,Moby Grape,2.6939655172413796e-05,A,Directed
1536,Blind Boy Fuller,2.6939655172413796e-05,A,Directed
1537,The Slackers,2.6939655172413796e-05,A,Directed
1538,Harry Styles,2.6939655172413796e-05,A,Directed
1539,Dope,2.6939655172413796e-05,A,Directed
1540,Yo La Tengo,2.6939655172413796e-05,A,Directed
1541,Delbert McClinton,2.6939655172413796e-05,A,Directed
1542,TrentemÃ¸ller,2.6939655172413796e-05,A,Directed
1543,Bobby Rydell,2.6939655172413796e-05,A,Directed
1544,Jawbox,2.6939655172413796e-05,A,Directed
1545,Deadmau5,2.6939655172413796e-05,A,Directed
1546,The Sounds,2.6939655172413796e-05,A,Directed
1547,Rufus Wainwright,2.6939655172413796e-05,A,Directed
1548,Mr. Vegas,2.6939655172413796e-05,A,Directed
1549,Down,2.6939655172413796e-05,A,Directed
1550,Fall Out Boy,2.6939655172413796e-05,A,Directed
1551,The Selecter,2.6939655172413796e-05,A,Directed
1552,Bobby Brown,2.6939655172413796e-05,A,Directed
1553,Deep Purple,2.6939655172413796e-05,A,Directed
1554,Camper Van Beethoven,2.6939655172413796e-05,A,Directed
1555,Janie Fricke,2.6939655172413796e-05,A,Directed
1556,Vanessa-Mae,2.6939655172413796e-05,A,Directed
1557,112,2.6939655172413796e-05,A,Directed
1558,Bobby Charles,2.6939655172413796e-05,A,Directed
1559,David Allan Coe,2.6939655172413796e-05,A,Directed
1560,Vashti Bunyan,2.6939655172413796e-05,A,Directed
1561,Angela Carrasco,2.6939655172413796e-05,A,Directed
1562,Tamar Braxton,2.6939655172413796e-05,A,Directed
1563,Pete Steele,2.6939655172413796e-05,A,Directed
1564,Johnny Tillotson,2.6939655172413796e-05,A,Directed
1565,Jeremih,2.6939655172413796e-05,A,Directed
1566,Randy Scruggs,2.6939655172413796e-05,A,Directed
1567,James Carr,2.6939655172413796e-05,A,Directed
1568,Nirvana,2.6939655172413796e-05,A,Directed
1569,Clark Terry,2.6939655172413796e-05,A,Directed
1570,Dead Moon,2.6939655172413796e-05,A,Directed
1571,Jim Ford,2.6939655172413796e-05,A,Directed
1572,Duke Jordan,2.6939655172413796e-05,A,Directed
1573,Hi-Five,2.6939655172413796e-05,A,Directed
1574,Alabama,2.6939655172413796e-05,A,Directed
1575,Robert Francis,2.6939655172413796e-05,A,Directed
1576,Amon Amarth,2.6939655172413796e-05,A,Directed
1577,Jean-Jacques Perrey,2.6939655172413796e-05,A,Directed
1578,Musiq Soulchild,2.6939655172413796e-05,A,Directed
1579,The Free Design,2.6939655172413796e-05,A,Directed
1580,Imogen Heap,2.6939655172413796e-05,A,Directed
1581,Mikey Dread,2.6939655172413796e-05,A,Directed
1582,Robert Gordon,2.6939655172413796e-05,A,Directed
1583,Dave Stewart,2.6939655172413796e-05,A,Directed
1584,The Shins,2.6939655172413796e-05,A,Directed
1585,Ruth Brown,2.6939655172413796e-05,A,Directed
1586,Dolores Keane,2.6939655172413796e-05,A,Directed
1587,Seefeel,2.6939655172413796e-05,A,Directed
1588,Jefferson Airplane,2.6939655172413796e-05,A,Directed
1589,CÃ©u,2.6939655172413796e-05,A,Directed
1590,The Jets,2.6939655172413796e-05,A,Directed
1591,Leonard Bernstein,2.6939655172413796e-05,A,Directed
1592,Willie Nile,2.6939655172413796e-05,A,Directed
1593,Los RelÃ¡mpagos del Norte,2.6939655172413796e-05,A,Directed
1594,Madness,2.6939655172413796e-05,A,Directed
1595,Led Zeppelin,2.6939655172413796e-05,A,Directed
1596,Madball,2.6939655172413796e-05,A,Directed
1597,Beirut,2.6939655172413796e-05,A,Directed
1598,Bert Kaempfert,2.6939655172413796e-05,A,Directed
1599,The Handsome Family,2.6939655172413796e-05,A,Directed
1600,Barbra Streisand,2.6939655172413796e-05,A,Directed
1601,Benny Benassi,2.6939655172413796e-05,A,Directed
1602,Rufus,2.6939655172413796e-05,A,Directed
1603,Dailey & Vincent,2.6939655172413796e-05,A,Directed
1604,Fats Domino,2.6939655172413796e-05,A,Directed
1605,"Crosby, Stills, Nash & Young",2.6939655172413796e-05,A,Directed
1606,Donald Harrison,2.6939655172413796e-05,A,Directed
1607,Kano,2.6939655172413796e-05,A,Directed
1608,Ingrid Michaelson,2.6939655172413796e-05,A,Directed
1609,Cameo,2.6939655172413796e-05,A,Directed
1610,The Wreckers,2.6939655172413796e-05,A,Directed
1611,"Harry Connick, Jr.",2.6939655172413796e-05,A,Directed
1612,Joe Zawinul,2.6939655172413796e-05,A,Directed
1613,Gloria Gaynor,2.6939655172413796e-05,A,Directed
1614,Methods of Mayhem,2.6939655172413796e-05,A,Directed
1615,Bob Weir,2.6939655172413796e-05,A,Directed
1616,Death in June,2.6939655172413796e-05,A,Directed
1617,Robert Cray,2.6939655172413796e-05,A,Directed
1618,Front 242,2.6939655172413796e-05,A,Directed
1619,Guadalcanal Diary,2.6939655172413796e-05,A,Directed
1620,Dan Bern,2.6939655172413796e-05,A,Directed
1621,Declan McKenna,2.6939655172413796e-05,A,Directed
1622,Life of Agony,2.6939655172413796e-05,A,Directed
1623,Johnny Osbourne,2.6939655172413796e-05,A,Directed
1624,Hiroshima,2.6939655172413796e-05,A,Directed
1625,Modest Mouse,2.6939655172413796e-05,A,Directed
1626,The Ides of March,2.6939655172413796e-05,A,Directed
1627,The Robins,2.6939655172413796e-05,A,Directed
1628,Art Pepper,2.6939655172413796e-05,A,Directed
1629,Danzig,2.6939655172413796e-05,A,Directed
1630,Of Montreal,2.6939655172413796e-05,A,Directed
1631,Ernestine Anderson,2.6939655172413796e-05,A,Directed
1632,J. Holiday,2.6939655172413796e-05,A,Directed
1633,Ben Folds Five,2.6939655172413796e-05,A,Directed
1634,Elliott Smith,2.6939655172413796e-05,A,Directed
1635,William Clarke,2.6939655172413796e-05,A,Directed
1636,Black Label Society,2.6939655172413796e-05,A,Directed
1637,Dixie Chicks,2.6939655172413796e-05,A,Directed
1638,Matt Simons,2.6939655172413796e-05,A,Directed
1639,VEDO,2.6939655172413796e-05,A,Directed
1640,Johnny Paycheck,2.6939655172413796e-05,A,Directed
1641,Shirley Collins,2.6939655172413796e-05,A,Directed
1642,Eluveitie,2.6939655172413796e-05,A,Directed
1643,The Undisputed Truth,2.6939655172413796e-05,A,Directed
1644,Olly Murs,2.6939655172413796e-05,A,Directed
1645,George Russell,2.6939655172413796e-05,A,Directed
1646,MGMT,2.6939655172413796e-05,A,Directed
1647,ESG,2.6939655172413796e-05,A,Directed
1648,Betty Carter,2.6939655172413796e-05,A,Directed
1649,Tommy Makem,2.6939655172413796e-05,A,Directed
1650,James Ingram,2.6939655172413796e-05,A,Directed
1651,John Hiatt,2.6939655172413796e-05,A,Directed
1652,Lifehouse,2.6939655172413796e-05,A,Directed
1653,The Lovin' Spoonful,2.6939655172413796e-05,A,Directed
1654,Willie Nelson,2.6939655172413796e-05,A,Directed
1655,Skeeter Davis,2.6939655172413796e-05,A,Directed
1656,Eric Donaldson,2.6939655172413796e-05,A,Directed
1657,Burzum,2.6939655172413796e-05,A,Directed
1658,Melvins,2.6939655172413796e-05,A,Directed
1659,Serge Gainsbourg,2.6939655172413796e-05,A,Directed
1660,The Replacements,2.6939655172413796e-05,A,Directed
1661,Taylor Dayne,2.6939655172413796e-05,A,Directed
1662,Eddie Van Halen,2.6939655172413796e-05,A,Directed
1663,Jennifer Holliday,2.6939655172413796e-05,A,Directed
1664,Sam Cooke,2.6939655172413796e-05,A,Directed
1665,Imagine Dragons,2.6939655172413796e-05,A,Directed
1666,Taio Cruz,2.6939655172413796e-05,A,Directed
1667,Conflict,2.6939655172413796e-05,A,Directed
1668,moe.,2.6939655172413796e-05,A,Directed
1669,Slaid Cleaves,2.6939655172413796e-05,A,Directed
1670,Shelby Lynne,2.6939655172413796e-05,A,Directed
1671,Stacy Lattisaw,2.6939655172413796e-05,A,Directed
1672,Tom Waits,2.6939655172413796e-05,A,Directed
1673,Dead Kennedys,2.6939655172413796e-05,A,Directed
1674,mewithoutYou,2.6939655172413796e-05,A,Directed
1675,The Tractors,2.6939655172413796e-05,A,Directed
1676,Old & In the Way,2.6939655172413796e-05,A,Directed
1677,Alfredo Gutierrez,2.6939655172413796e-05,A,Directed
1678,Guttermouth,2.6939655172413796e-05,A,Directed
1679,Switch,2.6939655172413796e-05,A,Directed
1680,Jens Lekman,2.6939655172413796e-05,A,Directed
1681,George Benson,2.6939655172413796e-05,A,Directed
1682,Stanton Moore,2.6939655172413796e-05,A,Directed
1683,Neck Deep,2.6939655172413796e-05,A,Directed
1684,Zedd,2.6939655172413796e-05,A,Directed
1685,Moe Bandy,2.6939655172413796e-05,A,Directed
1686,Alec Wilder,2.6939655172413796e-05,A,Directed
1687,Tony Trischka,2.6939655172413796e-05,A,Directed
1688,Jimmy Cobb,2.6939655172413796e-05,A,Directed
1689,Crown the Empire,2.6939655172413796e-05,A,Directed
1690,Thad Jones,2.6939655172413796e-05,A,Directed
1691,Pearl Jam,2.6939655172413796e-05,A,Directed
1692,Jerry Byrd,2.6939655172413796e-05,A,Directed
1693,Tara Kemp,2.6939655172413796e-05,A,Directed
1694,Linkin Park,2.6939655172413796e-05,A,Directed
1695,Meli'sa Morgan,2.6939655172413796e-05,A,Directed
1696,Within Temptation,2.6939655172413796e-05,A,Directed
1697,Sheena Easton,2.6939655172413796e-05,A,Directed
1698,The Posies,2.6939655172413796e-05,A,Directed
1699,It's a Beautiful Day,2.6939655172413796e-05,A,Directed
1700,Belly,2.6939655172413796e-05,A,Directed
1701,Donald Fagen,2.6939655172413796e-05,A,Directed
1702,Alice in Chains,2.6939655172413796e-05,A,Directed
1703,Cupid,2.6939655172413796e-05,A,Directed
1704,Son House,2.6939655172413796e-05,A,Directed
1705,The Balfa Brothers,2.6939655172413796e-05,A,Directed
1706,Silver Apples,2.6939655172413796e-05,A,Directed
1707,Passion,2.6939655172413796e-05,A,Directed
1708,Gavin DeGraw,2.6939655172413796e-05,A,Directed
1709,Cash Cash,2.6939655172413796e-05,A,Directed
1710,The Amboy Dukes,2.6939655172413796e-05,A,Directed
1711,Tim Buckley,2.6939655172413796e-05,A,Directed
1712,The Jeff Healey Band,2.6939655172413796e-05,A,Directed
1713,Patti Austin,2.6939655172413796e-05,A,Directed
1714,Kat Dahlia,2.6939655172413796e-05,A,Directed
1715,Jimmy Page,2.6939655172413796e-05,A,Directed
1716,Steve Earle,2.6939655172413796e-05,A,Directed
1717,Bert Jansch,2.6939655172413796e-05,A,Directed
1718,Robert Fripp,2.6939655172413796e-05,A,Directed
1719,Phil Ramone,2.6939655172413796e-05,A,Directed
1720,Michael W. Smith,2.6939655172413796e-05,A,Directed
1721,Menudo,2.6939655172413796e-05,A,Directed
1722,Kaytranada,2.6939655172413796e-05,A,Directed
1723,J.J. Cale,2.6939655172413796e-05,A,Directed
1724,UB40,2.6939655172413796e-05,A,Directed
1725,LaShun Pace,2.6939655172413796e-05,A,Directed
1726,Ringo Starr,2.6939655172413796e-05,A,Directed
1727,April March,2.6939655172413796e-05,A,Directed
1728,From First to Last,2.6939655172413796e-05,A,Directed
1729,Colter Wall,2.6939655172413796e-05,A,Directed
1730,Deee-Lite,2.6939655172413796e-05,A,Directed
1731,Circa Survive,2.6939655172413796e-05,A,Directed
1732,Taj Mahal,2.6939655172413796e-05,A,Directed
1733,Jorge Negrete,2.6939655172413796e-05,A,Directed
1734,Ciara,2.6939655172413796e-05,A,Directed
1735,Carl Allen,2.6939655172413796e-05,A,Directed
1736,Kraftwerk,2.6939655172413796e-05,A,Directed
1737,Ride,2.6939655172413796e-05,A,Directed
1738,Roaring Lion,2.6939655172413796e-05,A,Directed
1739,Nick Drake,2.6939655172413796e-05,A,Directed
1740,Vanessa Paradis,2.6939655172413796e-05,A,Directed
1741,Lee Roy Parnell,2.6939655172413796e-05,A,Directed
1742,"Crosby, Stills & Nash",2.6939655172413796e-05,A,Directed
1743,Neal McCoy,2.6939655172413796e-05,A,Directed
1744,The Jam,2.6939655172413796e-05,A,Directed
1745,Cold War Kids,2.6939655172413796e-05,A,Directed
1746,Norman Blake,2.6939655172413796e-05,A,Directed
1747,Mickey Guyton,2.6939655172413796e-05,A,Directed
1748,Allan Sherman,2.6939655172413796e-05,A,Directed
1749,Weezer,2.6939655172413796e-05,A,Directed
1750,Lydia Lunch,2.6939655172413796e-05,A,Directed
1751,Mindless Behavior,2.6939655172413796e-05,A,Directed
1752,The Promise Ring,2.6939655172413796e-05,A,Directed
1753,Chick Corea,2.6939655172413796e-05,A,Directed
1754,Leatherface,2.6939655172413796e-05,A,Directed
1755,Chico DeBarge,2.6939655172413796e-05,A,Directed
1756,Christina Milian,2.6939655172413796e-05,A,Directed
1757,Christian Death,2.6939655172413796e-05,A,Directed
1758,Dance Gavin Dance,2.6939655172413796e-05,A,Directed
1759,Steeleye Span,2.6939655172413796e-05,A,Directed
1760,Lyres,2.6939655172413796e-05,A,Directed
1761,Joan Armatrading,2.6939655172413796e-05,A,Directed
1762,Stealers Wheel,2.6939655172413796e-05,A,Directed
1763,Dream Evil,2.6939655172413796e-05,A,Directed
1764,Highway 101,2.6939655172413796e-05,A,Directed
1765,Cutty Ranks,2.6939655172413796e-05,A,Directed
1766,Paul Winter,2.6939655172413796e-05,A,Directed
1767,Alejandro Escovedo,2.6939655172413796e-05,A,Directed
1768,Moxy FrÃ¼vous,2.6939655172413796e-05,A,Directed
1769,Vybz Kartel,2.6939655172413796e-05,A,Directed
1770,Charlie Daniels,2.6939655172413796e-05,A,Directed
1771,Sharon Jones & the Dap-Kings,2.6939655172413796e-05,A,Directed
1772,Father John Misty,2.6939655172413796e-05,A,Directed
1773,Smog,2.6939655172413796e-05,A,Directed
1774,The Wallflowers,2.6939655172413796e-05,A,Directed
1775,Tracey Ullman,2.6939655172413796e-05,A,Directed
1776,Debbie Reynolds,2.6939655172413796e-05,A,Directed
1777,Incognito,2.6939655172413796e-05,A,Directed
1778,The Creatures,2.6939655172413796e-05,A,Directed
1779,JosÃ© GonzÃ¡lez,2.6939655172413796e-05,A,Directed
1780,The Wedding Present,2.6939655172413796e-05,A,Directed
1781,Burt Bacharach,2.6939655172413796e-05,A,Directed
1782,Tex Beneke,2.6939655172413796e-05,A,Directed
1783,Cursive,2.6939655172413796e-05,A,Directed
1784,Booker T. Jones,2.6939655172413796e-05,A,Directed
1785,Ace Frehley,2.6939655172413796e-05,A,Directed
1786,Nana Mouskouri,2.6939655172413796e-05,A,Directed
1787,Sarah Brightman,2.6939655172413796e-05,A,Directed
1788,Zapp,2.6939655172413796e-05,A,Directed
1789,The Commitments,2.6939655172413796e-05,A,Directed
1790,Harry Nilsson,2.6939655172413796e-05,A,Directed
1791,Hank Ballard,2.6939655172413796e-05,A,Directed
1792,Linda Jones,2.6939655172413796e-05,A,Directed
1793,Them Crooked Vultures,2.6939655172413796e-05,A,Directed
1794,Rare Earth,2.6939655172413796e-05,A,Directed
1795,Faith Hill,2.6939655172413796e-05,A,Directed
1796,James McMurtry,2.6939655172413796e-05,A,Directed
1797,Killswitch Engage,2.6939655172413796e-05,A,Directed
1798,Lester Flatt,2.6939655172413796e-05,A,Directed
1799,The Pop Group,2.6939655172413796e-05,A,Directed
1800,Meghan Trainor,2.6939655172413796e-05,A,Directed
1801,Mary J. Blige,2.6939655172413796e-05,A,Directed
1802,Eric Johnson,2.6939655172413796e-05,A,Directed
1803,Fred Anderson,2.6939655172413796e-05,A,Directed
1804,Dave Barnes,2.6939655172413796e-05,A,Directed
1805,Guy,2.6939655172413796e-05,A,Directed
1806,Edie Brickell,2.6939655172413796e-05,A,Directed
1807,Dexys Midnight Runners,2.7426861702127663e-05,B,Directed
1808,Therapy?,2.7565191840100664e-05,B,Directed
1809,Melody Gardot,2.7651756758791377e-05,B,Directed
1810,Buckwheat Zydeco,2.775746613300493e-05,B,Directed
1811,Bobby McFerrin,2.778775542784164e-05,B,Directed
1812,Mason Williams,2.778775542784164e-05,B,Directed
1813,Charles Mingus,2.7855603448275866e-05,B,Directed
1814,The Clean,2.7855603448275866e-05,B,Directed
1815,Simon & Garfunkel,2.7855603448275866e-05,B,Directed
1816,The Modern Jazz Quartet,2.7855603448275866e-05,B,Directed
1817,Steve Goodman,2.789376795977012e-05,B,Directed
1818,Bo Diddley,2.7935251124437782e-05,B,Directed
1819,Fats Navarro,2.798050548589342e-05,B,Directed
1820,Prince Far I,2.798050548589342e-05,B,Directed
1821,Kim Carnes,2.798050548589342e-05,B,Directed
1822,La Lupe,2.8012790491001323e-05,B,Directed
1823,Dougie MacLean,2.8030069786535306e-05,B,Directed
1824,"Luther ""Guitar Junior"" Johnson",2.8058432895441154e-05,B,Directed
1825,Billy Strayhorn,2.8068951497280742e-05,B,Directed
1826,Marc Almond,2.8084590517241382e-05,B,Directed
1827,Roxy Music,2.8084590517241382e-05,B,Directed
1828,John Barry,2.8084590517241382e-05,B,Directed
1829,Clifford Brown,2.8084590517241382e-05,B,Directed
1830,Big Maybelle,2.8084590517241382e-05,B,Directed
1831,Robert Plant,2.8084590517241382e-05,B,Directed
1832,The Nerves,2.8084590517241382e-05,B,Directed
