Id,Label,Weight,color,modularity_class
884,Patti Austin,11,u,46
885,Eartha Kitt,9,v,47
886,Tammi Terrell,8,u,46
887,Carmen McRae,13,u,46
888,Dinah Washington,45,u,46
889,Nancy Wilson,10,u,46
890,Quincy Jones,31,u,46
891,Shirley Bassey,12,u,46
892,Patti LuPone,1,u,46
893,Ethel Merman,9,v,47
894,Liza Minnelli,11,u,46
895,Julie Andrews,10,v,47
896,Kenny Clarke,7,v,47
897,Paul Motian,1,u,46
898,Joe Lovano,4,u,46
899,Roy Haynes,11,u,46
900,Bill Evans,37,u,46
901,Philly Joe Jones,11,v,47
902,Roger,6,u,46
903,Teddy Riley,8,u,46
904,Kim Weston,5,u,46
905,Janis Ian,10,u,46
906,Rufus,11,u,46
907,Mary Wells,20,u,46
908,Linda Jones,2,v,47
909,Mike Oldfield,16,u,46
910,Paul Hardcastle,0,u,46
911,Paradise Lost,0,u,46
912,Witchfinder General,5,u,46
913,Bolt Thrower,2,u,46
914,The Housemartins,9,u,46
915,Stars,0,u,46
916,The House of Love,9,u,46
917,The Cure,80,u,46
918,Pet Shop Boys,25,u,46
919,The Lemonheads,9,u,46
920,Thompson Twins,9,u,46
921,Belly,2,u,46
922,Saint Etienne,17,u,46
923,The Human League,28,u,46
924,Stars of the Lid,0,u,46
925,Bette Midler,16,u,46
926,Engelbert Humperdinck,13,u,46
927,"Lambert, Hendricks & Ross",7,u,46
928,Pat Boone,14,u,46
929,Peter Allen,1,v,47
930,Neil Sedaka,15,u,46
931,Mel TormÃ©,18,v,47
932,Paul Anka,8,u,46
933,Steve Lawrence,4,u,46
934,Frankie Valli,5,u,46
935,Liberace,7,u,46
936,Tad,0,u,46
937,Ambrosia,0,u,46
938,Crystal Gayle,21,u,46
939,Jeannie C. Riley,7,u,46
940,Kathy Mattea,10,u,46
941,Reba McEntire,20,u,46
942,Hazel Dickens,11,v,47
943,Delbert McClinton,8,u,46
944,Juice Newton,6,u,46
945,June Carter Cash,11,u,46
946,The Lovin' Spoonful,21,u,46
947,The Hollies,45,l,37
948,"Peter, Paul and Mary",10,u,46
949,John Sebastian,6,u,46
950,Dillard & Clark,6,u,46
951,...And You Will Know Us by the Trail of Dead,0,u,46
952,Television,50,u,46
953,Swans,11,h,33
954,The Birthday Party,13,u,46
955,Blonde Redhead,6,p,41
956,Unwound,1,u,46
957,Mission of Burma,23,u,46
958,Butthole Surfers,15,u,46
959,Slint,13,u,46
960,Elvin Jones,15,u,46
961,Shelly Manne,5,u,46
962,Don Lamond,1,v,47
963,John Cale,14,u,46
964,Lou Reed,58,l,37
965,Roky Erickson,9,P,15
966,The 13th Floor Elevators,20,A,0
967,Albert Ayler,12,u,46
968,The Fugs,24,A,0
969,Brandy,22,u,46
970,Amerie,1,u,46
971,Skunk Anansie,0,u,46
972,Chumbawamba,5,u,46
973,Tears for Fears,10,u,46
974,Bauhaus,20,u,46
975,Van der Graaf Generator,14,u,46
976,Slade,29,u,46
977,Kate Bush,36,u,46
978,Ray Barretto,7,u,46
979,Sheila E.,0,u,46
980,Mongo Santamaria,14,v,47
981,Willie Bobo,3,u,46
982,Sky,0,u,46
983,Slim Harpo,23,u,46
984,B.B. King,54,u,46
985,Jimmy Reed,55,u,46
986,Howlin' Wolf,99,v,47
987,"Bobby ""Blue"" Bland",21,u,46
988,Teddy Pendergrass,35,u,46
989,Jimmy Witherspoon,9,v,47
990,Jackie Wilson,54,u,46
991,Clarence Carter,5,u,46
992,Ben E. King,20,u,46
993,Eddie Floyd,8,l,37
994,Johnnie Taylor,8,u,46
995,Lou Rawls,13,A,0
996,O.V. Wright,12,u,46
997,Percy Sledge,12,u,46
998,Tom Lehrer,8,v,47
999,Shel Silverstein,5,A,0
1000,Slim Gaillard,16,v,47
1001,Bob Wills,40,v,47
1002,Tennessee Ernie Ford,7,v,47
1003,Merle Travis,14,v,47
1004,Louis Jordan,53,v,47
1005,Jack Johnson,9,u,46
1006,Slightly Stoopid,0,u,46
1007,G. Love & Special Sauce,8,h,33
1008,Descendents,35,u,46
1009,The Suicide Machines,5,e,30
1010,The Toasters,8,u,46
1011,Sublime,15,f,31
1012,Agent Orange,5,u,46
1013,Dead Kennedys,34,u,46
1014,Sizzla,1,u,46
1015,Shabba Ranks,13,u,46
1016,Cocoa Tea,7,u,46
1017,UB40,8,u,46
1018,Richie Spice,5,u,46
1019,Yellowman,13,u,46
1020,Ziggy Marley,5,u,46
1021,Beenie Man,7,S,18
1022,Freddie McGregor,4,u,46
1023,Shelby Lynne,4,u,46
1024,Sheryl Crow,17,u,46
1025,Billy Joe Royal,3,u,46
1026,Carlene Carter,7,u,46
1027,Lyle Lovett,7,A,0
1028,Janis Joplin,35,u,46
1029,Nanci Griffith,9,u,46
1030,Melissa Etheridge,11,u,46
1031,k.d. lang,3,u,46
1032,Bon Jovi,16,u,46
1033,Slaughter,0,u,46
1034,David Lee Roth,16,u,46
1035,Whitesnake,7,u,46
1036,Sammy Hagar,14,u,46
1037,Paul Collins,3,u,46
1038,Tommy James & the Shondells,7,u,46
1039,Yaz,10,u,46
1040,Amber,0,u,46
1041,Booker Little,5,u,46
1042,Terence Blanchard,0,u,46
1043,Lee Morgan,8,u,46
1044,Woody Shaw,6,u,46
1045,Clifford Brown,15,u,46
1046,Freddie Hubbard,14,u,46
1047,Eric Dolphy,13,u,46
1048,Art Blakey,36,v,47
1049,Wynton Marsalis,3,u,46
1050,Doris Day,11,u,46
1051,Shelley Fabares,1,u,46
1052,Trick Pony,0,u,46
1053,Lonestar,3,u,46
1054,Restless Heart,6,u,46
1055,Toby Keith,10,u,46
1056,Bruce Springsteen,70,u,46
1057,Willie Nelson,66,u,46
1058,Tim McGraw,22,u,46
1059,Highway 101,1,u,46
1060,Joe Diffie,1,u,46
1061,Alabama,31,u,46
1062,Buck Owens,42,u,46
1063,Slash,2,j,35
1064,Eddie Hazel,6,u,46
1065,Johnny Thunders,8,d,29
1066,Rory Gallagher,8,u,46
1067,Mick Ronson,4,u,46
1068,Shenandoah,6,u,46
1069,The Oak Ridge Boys,11,v,47
1070,Stephen Malkmus,0,u,46
1071,The Flying Burrito Brothers,37,u,46
1072,Bert Jansch,26,u,46
1073,Sleep,6,u,46
1074,Celtic Frost,18,u,46
1075,Pentagram,11,u,46
1076,Hawkwind,21,u,46
1077,Ani DiFranco,14,u,46
1078,Tegan and Sara,0,u,46
1079,Concrete Blonde,9,u,46
1080,Ben Folds,19,u,46
1081,Fiona Apple,22,u,46
1082,Mary Margaret O'Hara,2,u,46
1083,The Tragically Hip,5,u,46
1084,Bratmobile,4,u,46
1085,Throwing Muses,10,u,46
1086,Dave Van Ronk,22,u,46
1087,Chuck Mangione,10,u,46
1088,Chet Baker,21,u,46
1089,Maynard Ferguson,3,v,47
1090,Art Farmer,4,u,46
1091,Cannonball Adderley,26,u,46
1092,Herb Alpert,6,u,46
1093,Herbie Mann,9,u,46
1094,Tribal Tech,0,u,46
1095,Jean-Luc Ponty,3,u,46
1096,Mahavishnu Orchestra,15,u,46
1097,Weather Report,17,u,46
1098,Return to Forever,7,u,46
1099,Discharge,12,u,46
1100,Saxon,11,u,46
1101,Angel Witch,3,u,46
1102,Fear,10,u,46
1103,Patty Griffin,7,u,46
1104,Bruce Cockburn,12,u,46
1105,Arlo Guthrie,7,u,46
1106,Daniel Lanois,4,u,46
1107,Dave Matthews Band,18,u,46
1108,Kreator,5,u,46
1109,Amon Amarth,0,u,46
1110,Bathory,14,u,46
1111,Percy Faith,3,v,47
1112,Paul Mauriat,0,v,47
1113,Ten Foot Pole,0,u,46
1114,Temple of the Dog,2,u,46
1115,Hoyt Axton,11,V,21
1116,? & the Mysterians,17,j,35
1117,The Troggs,13,d,29
1118,The Standells,12,l,37
1119,Don Covay,16,l,37
1120,Death,14,u,46
1121,Terrorizer,0,u,46
1122,Steps Ahead,0,u,46
1123,The KLF,6,u,46
1124,Stereo MC's,0,u,46
1125,808 State,22,u,46
1126,Dottie West,4,u,46
1127,Shelly West,0,u,46
1128,Stephen Bishop,0,u,46
1129,Bread,14,u,46
1130,Ted Hawkins,0,u,46
1131,Paul Rodgers,0,v,47
1132,10cc,15,u,46
1133,Sherbet,0,u,46
1134,Ken Boothe,16,u,46
1135,Stephen Marley,0,u,46
1136,Rita Marley,6,u,46
1137,John Holt,19,T,19
1138,Dennis Brown,15,u,46
1139,Bunny Wailer,17,T,19
1140,Amon Tobin,0,u,46
1141,Eddie Palmieri,12,u,46
1142,Tom ZÃ©,8,u,46
1143,Shirley Collins,13,u,46
1144,Alan Lomax,10,v,47
1145,Amy Grant,16,u,46
1146,Melissa Manchester,2,u,46
1147,Debby Boone,2,u,46
1148,Gov't Mule,2,u,46
1149,Tea Leaf Green,0,u,46
1150,Hot Tuna,10,u,46
1151,Phish,12,u,46
1152,Skindred,0,u,46
1153,Gang of Four,41,u,46
1154,The Police,51,u,46
1155,Kraftwerk,108,u,46
1156,Trio,3,u,46
1157,Soul II Soul,9,u,46
1158,Grace Jones,9,u,46
1159,Depeche Mode,49,u,46
1160,Neneh Cherry,13,u,46
1161,The Specials,28,S,18
1162,Siouxsie and the Banshees,39,u,46
1163,Slave,3,u,46
1164,Parliament,48,u,46
1165,Larry Levan,12,v,47
1166,Shep Pettibone,2,v,47
1167,Tom Moulton,2,v,47
1168,Falco,7,u,46
1169,Technotronic,1,u,46
1170,Kirk Whalum,3,u,46
1171,Steve Cole,0,u,46
1172,David Sanborn,7,u,46
1173,"Grover Washington, Jr.",13,u,46
1174,The Apples in Stereo,4,u,46
1175,Kaleidoscope,2,v,47
1176,The Turtles,14,u,46
1177,XTC,33,u,46
1178,Silver Apples,25,l,37
1179,The Left Banke,21,u,46
1180,Van Dyke Parks,13,O,14
1181,Sebadoh,24,u,46
1182,My Bloody Valentine,51,u,46
1183,Terrance Simien,0,u,46
1184,Sleater-Kinney,7,n,39
1185,Babes in Toyland,7,u,46
1186,L7,6,u,46
1187,Courtney Love,3,u,46
1188,Delta 5,4,u,46
1189,The Slits,14,u,46
1190,X-Ray Spex,15,u,46
1191,Bikini Kill,9,u,46
1192,The Go-Betweens,13,u,46
1193,Elastica,11,m,38
1194,Elliott Smith,28,h,33
1195,Andrew Bird,3,h,33
1196,Eels,12,h,33
1197,Morphine,1,A,0
1198,StÃ©phane Grappelli,9,v,47
1199,Skid Row,3,u,46
1200,Cheap Trick,56,u,46
1201,MÃ¶tley CrÃ¼e,27,u,46
1202,Loverboy,6,u,46
1203,Quiet Riot,6,u,46
1204,Hanoi Rocks,11,u,46
1205,Terry Allen,7,u,46
1206,Gary Stewart,13,u,46
1207,Doug Sahm,9,A,0
1208,Ramblin' Jack Elliott,29,v,47
1209,Buddy Holly,97,j,35
1210,Townes Van Zandt,30,u,46
1211,John Prine,25,u,46
1212,Stereolab,16,u,46
1213,Steve Reich,24,v,47
1214,The Free Design,9,u,46
1215,Chrome,14,u,46
1216,Cocteau Twins,40,u,46
1217,Serge Gainsbourg,22,u,46
1218,FranÃ§oise Hardy,9,u,46
1219,The Rockets,2,u,46
1220,Martin Denny,7,u,46
1221,Neu!,29,u,46
1222,Os Mutantes,15,u,46
1223,Yoko Ono,10,I,8
1224,Arthur Lyman,3,u,46
1225,Cabaret Voltaire,22,u,46
1226,Can,51,u,46
1227,Henry Mancini,19,v,47
1228,The Association,10,u,46
1229,China Crisis,2,u,46
1230,France Gall,5,u,46
1231,Philip Glass,13,u,46
1232,Brigitte Fontaine,2,u,46
1233,Skin Yard,0,u,46
1234,Bob Seger,22,d,29
1235,Paula Cole,2,u,46
1236,Christine McVie,5,u,46
1237,Jane Siberry,6,u,46
1238,Suzanne Vega,22,u,46
1239,SinÃ©ad O'Connor,13,u,46
1240,Smokie Norful,2,u,46
1241,Kirk Franklin,11,u,46
1242,BeBe & CeCe Winans,6,u,46
1243,Donny Hathaway,31,u,46
1244,The Staple Singers,16,u,46
1245,Terry Stafford,0,u,46
1246,Paulina Rubio,5,t,45
1247,VerÃ³nica Castro,2,v,47
1248,Lucia Mendez,1,v,47
1249,Ana Gabriel,2,u,46
1250,Sleeping at Last,0,p,41
1251,BjÃ¶rk,43,l,37
1252,Terry Callier,12,J,9
1253,Wayne Shorter,9,u,46
1254,Pete Seeger,47,v,47
1255,Pharoah Sanders,10,u,46
1256,The New Lost City Ramblers,7,v,47
1257,"Oscar Brown, Jr.",10,A,0
1258,Shinedown,5,u,46
1259,Saliva,3,u,46
1260,Jerry Cantrell,11,u,46
1261,Lester Young,51,v,47
1262,Paul Quinichette,0,v,47
1263,Magic Sam,8,u,46
1264,Jimmy Rogers,6,v,47
1265,Willie Dixon,37,v,47
1266,Slim Smith,1,u,46
1267,Sneaker Pimps,10,F,5
1268,Everything But the Girl,19,u,46
1269,Primal Scream,19,u,46
1270,Orchestral Manoeuvres in the Dark,22,u,46
1271,The Modern Jazz Quartet,8,u,46
1272,The 5th Dimension,16,u,46
1273,Johnny Rivers,4,V,21
1274,Sloan,6,u,46
1275,The 88,0,u,46
1276,Terry Jacks,0,u,46
1277,Smokey Robinson & the Miracles,15,u,46
1278,Larry Williams,6,v,47
1279,Sam & Dave,25,u,46
1280,The Temptations,55,u,46
1281,Slim Whitman,6,v,47
1282,Roy Rogers,18,v,47
1283,Trixter,0,u,46
1284,Smash Mouth,0,u,46
1285,Billy Idol,9,u,46
1286,Green Day,65,B,1
1287,Madness,25,T,19
1288,The English Beat,17,T,19
1289,INXS,16,u,46
1290,Joe Jackson,16,u,46
1291,Shocking Blue,1,u,46
1292,Terry Reid,6,u,46
1293,Steve Winwood,16,u,46
1294,Robert Wyatt,18,u,46
1295,Rod Stewart,29,u,46
1296,Tim Hardin,31,j,35
1297,Tim Buckley,25,u,46
1298,Cal Tjader,9,u,46
1299,Frankie Miller,2,v,47
1300,Ronnie Lane,9,u,46
1301,Mick Jagger,17,d,29
1302,Wings,7,l,37
1303,Tesla,10,u,46
1304,Billy Squier,16,u,46
1305,Rainbow,19,u,46
1306,Ace Frehley,4,j,35
1307,Mott the Hoople,29,l,37
1308,UFO,10,u,46
1309,Peggy Lee,29,v,47
1310,Nelson Riddle,5,v,47
1311,Anita O'Day,17,v,47
1312,Keely Smith,9,v,47
1313,Lena Horne,22,v,47
1314,Fats Domino,51,v,47
1315,The Marvelettes,13,u,46
1316,Carl Perkins,51,v,47
1317,Eddie Cochran,43,v,47
1318,Gene Vincent,36,l,37
1319,Free,32,u,46
1320,Joe Tex,9,u,46
1321,The Spencer Davis Group,5,u,46
1322,The Rubinoos,4,u,46
1323,Jellyfish,11,u,46
1324,The Plimsouls,3,u,46
1325,The Soft Boys,14,u,46
1326,The Wedding Present,7,u,46
1327,Johnny Mandel,3,v,47
1328,AndrÃ© Previn,0,u,46
1329,Oscar Peterson,26,u,46
1330,Slowdive,6,u,46
1331,The Durutti Column,14,u,46
1332,The Primitives,1,u,46
1333,Pale Saints,3,u,46
1334,Talk Talk,23,u,46
1335,Shirley Horn,4,u,46
1336,Maxine Sullivan,8,v,47
1337,Tevin Campbell,7,u,46
1338,Babyface,24,u,46
1339,Al B. Sure!,14,u,46
1340,The O'Jays,24,u,46
1341,Jim Morrison,4,u,46
1342,Roy Hamilton,3,v,47
1343,Nat King Cole,65,v,47
1344,James Cleveland,17,v,47
1345,Johnny Ace,12,u,46
1346,Craig Armstrong,3,u,46
1347,Steve Jablonsky,0,u,46
1348,AndraÃ© Crouch,16,u,46
1349,Procol Harum,17,u,46
1350,Sodom,6,u,46
1351,Thin Lizzy,40,u,46
1352,Accept,8,u,46
1353,KC & the Sunshine Band,9,u,46
1354,Anastacia,1,t,45
1355,Destiny's Child,16,u,46
1356,Jennifer Lopez,9,t,45
1357,Annie Lennox,18,u,46
1358,ABBA,26,u,46
1359,The Jam,43,u,46
1360,J.J. Cale,15,V,21
1361,The Monkees,20,u,46
1362,Blur,20,u,46
1363,Smog,7,u,46
1364,Nick Drake,60,u,46
1365,R. Stevie Moore,2,u,46
1366,Michael Hurley,6,u,46
1367,Daniel Johnston,15,u,46
1368,Simian,0,u,46
1369,Mercury Rev,14,u,46
1370,Air,13,u,46
1371,The United States of America,4,u,46
1372,The Everly Brothers,53,u,46
1373,Ladysmith Black Mambazo,5,u,46
1374,Jackson C. Frank,13,u,46
1375,Fela Kuti,23,u,46
1376,Fred Neil,37,v,47
1377,Johnny Maestro,1,v,47
1378,Dion,17,u,46
1379,The Righteous Brothers,13,u,46
1380,The Moonglows,18,v,47
1381,Miriam Makeba,10,v,47
1382,Milton Nascimento,13,u,46
1383,The Cadillacs,9,u,46
1384,Youssou N'Dour,5,u,46
1385,King Sunny Ade,4,v,47
1386,Andy Gibb,0,u,46
1387,Snot,0,u,46
1388,Smoke City,0,o,40
1389,Maria BethÃ¢nia,5,u,46
1390,Gilberto Gil,7,u,46
1391,Iris DeMent,4,u,46
1392,The Be Good Tanyas,0,u,46
1393,Uncle Tupelo,19,u,46
1394,Jean Ritchie,14,v,47
1395,The Beat,0,u,46
1396,Software,0,u,46
1397,Wynona Carr,2,v,47
1398,Dorothy Norwood,2,v,47
1399,Tex Williams,4,v,47
1400,Robyn,4,t,45
1401,Sophie Ellis-Bextor,0,u,46
1402,Susan Ashton,0,u,46
1403,Phil Ochs,20,u,46
1404,Steve Goodman,9,u,46
1405,Tom Rush,7,v,47
1406,Woody Guthrie,80,v,47
1407,Jerry Jeff Walker,9,u,46
1408,Triumph,3,u,46
1409,Grand Funk Railroad,28,u,46
1410,Wishbone Ash,14,u,46
1411,Paul Thorn,0,u,46
1412,Texas,4,u,46
1413,Ry Cooder,12,u,46
1414,Aztec Camera,9,u,46
1415,Son Seals,1,u,46
1416,Earl Hooker,5,v,47
1417,"Johnny ""Guitar"" Watson",12,v,47
1418,The Beautiful South,3,u,46
1419,Electric Light Orchestra,27,u,46
1420,Morrissey,23,u,46
1421,Bobby Womack,23,u,46
1422,Roy Brown,34,v,47
1423,Kenny Chesney,15,u,46
1424,Andy Griggs,0,u,46
1425,Mark Chesnutt,2,u,46
1426,Billy Dean,2,u,46
1427,Montgomery Gentry,1,u,46
1428,Suzi Quatro,7,u,46
1429,Tommy Roe,8,u,46
1430,Gary Glitter,9,u,46
1431,Super Cat,6,u,46
1432,Horace Andy,14,u,46
1433,I-Roy,6,T,19
1434,Buju Banton,6,u,46
1435,Supertramp,4,u,46
1436,Barclay James Harvest,5,u,46
1437,Siedah Garrett,0,u,46
1438,Andy Kim,1,v,47
1439,The Archies,11,u,46
1440,The Crystals,6,v,47
1441,Little Eva,3,v,47
1442,The Chills,2,u,46
1443,Superchunk,13,u,46
1444,Let's Active,4,u,46
1445,HÃ¼sker DÃ¼,49,u,46
1446,The Undertones,12,u,46
1447,Steve Earle,20,u,46
1448,Joe Ely,13,u,46
1449,John Anderson,12,u,46
1450,Jessi Colter,5,u,46
1451,NRBQ,13,u,46
1452,The Pogues,17,h,33
1453,Tom T. Hall,16,u,46
1454,Guy Clark,19,u,46
1455,Levon Helm,11,j,35
1456,Paul Young,0,u,46
1457,Billy Paul,8,u,46
1458,Joe Cocker,10,P,15
1459,ABC,13,u,46
1460,Harold Melvin & the Blue Notes,7,u,46
1461,Ann Peebles,17,u,46
1462,Erroll Garner,22,v,47
1463,Andrew Hill,4,u,46
1464,Barry Harris,3,u,46
1465,The Flamingos,20,v,47
1466,The Belmonts,0,u,46
1467,The Clovers,15,v,47
1468,The Duprees,1,u,46
1469,The Skyliners,1,v,47
1470,The Fleetwoods,7,u,46
1471,Paw,0,u,46
1472,King Missile,8,u,46
1473,Talking Heads,68,u,46
1474,They Might Be Giants,24,A,0
1475,Warren Zevon,9,A,0
1476,Violent Femmes,16,u,46
1477,Suicide,42,u,46
1478,Wire,60,u,46
1479,Throbbing Gristle,23,u,46
1480,DNA,4,u,46
1481,The Four Aces,1,v,47
1482,The Ink Spots,21,v,47
1483,The Mills Brothers,35,v,47
1484,Barry White,30,u,46
1485,Hot Chocolate,7,u,46
1486,Roy Ayers,10,u,46
1487,Gil Scott-Heron,13,A,0
1488,Peabo Bryson,9,u,46
1489,Enchantment,1,v,47
1490,Johnny Mathis,22,u,46
1491,Maria Muldaur,6,u,46
1492,Mavis Staples,3,u,46
1493,Hank Snow,19,v,47
1494,Big Mama Thornton,13,v,47
1495,LaVern Baker,11,u,46
1496,Sick of It All,11,u,46
1497,Minor Threat,47,u,46
1498,Murphy's Law,2,u,46
1499,Agnostic Front,15,u,46
1500,Gorilla Biscuits,6,u,46
1501,Sonny & Cher,5,u,46
1502,Peaches & Herb,1,u,46
1503,Steve Harley,3,u,46
1504,Billy Fury,11,u,46
1505,Shriekback,1,u,46
1506,Andy Black,1,X,23
1507,Shonen Knife,4,u,46
1508,Joan Jett & the Blackhearts,3,v,47
1509,Jonathan Richman,18,u,46
1510,The Go-Go's,6,u,46
1511,Shooter Jennings,0,u,46
1512,Dire Straits,18,u,46
1513,Robert Earl Keen,10,u,46
1514,Silk,0,u,46
1515,Jodeci,27,u,46
1516,Full Force,5,u,46
1517,Montell Jordan,8,u,46
1518,Smoking Popes,6,a,26
1519,7 Seconds,16,C,2
1520,The Cars,38,u,46
1521,Big Black,17,u,46
1522,Queen,77,l,37
1523,Ric Ocasek,7,u,46
1524,Steve Kuhn,3,u,46
1525,Hank Jones,10,v,47
1526,George Shearing,11,u,46
1527,Cecil Taylor,8,u,46
1528,Marty Robbins,21,u,46
1529,Sonny James,0,u,46
1530,Jim Reeves,20,v,47
1531,Sonny Clark,1,v,47
1532,Sonny Sharrock,3,u,46
1533,Ornette Coleman,45,u,46
1534,The Bellamy Brothers,0,u,46
1535,The Statler Brothers,5,u,46
1536,Brewer & Shipley,1,v,47
1537,Perry Como,15,v,47
1538,Steve Tyrell,0,v,47
1539,Hamza el Din,8,v,47
1540,Bad Company,31,u,46
1541,Dead Boys,10,u,46
1542,Dead Moon,6,l,37
1543,Minutemen,18,u,46
1544,Hurt,4,u,46
1545,Victor Jara,2,v,47
1546,Silvio RodrÃ­guez,2,v,47
1547,Andy MontaÃ±ez,3,v,47
1548,The Alarm,0,u,46
1549,The Bats,1,u,46
1550,Split Enz,13,u,46
1551,The Bobby Fuller Four,5,u,46
1552,Social Distortion,19,u,46
1553,D.O.A.,8,u,46
1554,Snow Patrol,0,u,46
1555,Crash Test Dummies,9,u,46
1556,The Cardigans,11,u,46
1557,Coldplay,31,u,46
1558,Mogwai,3,u,46
1559,Allan Jones,1,v,47
1560,Eydie Gorme,2,u,46
1561,Frankie Laine,6,v,47
1562,Vic Damone,5,u,46
1563,Dean Martin,26,v,47
1564,Johnnie Ray,11,u,46
1565,Bobby Charles,7,v,47
1566,Duane Eddy,20,u,46
1567,Lefty Frizzell,36,v,47
1568,Ronnie Hawkins,4,u,46
1569,P.P. Arnold,1,v,47
1570,Soft Cell,13,u,46
1571,Shirley Ellis,1,v,47
1572,Gloria Jones,1,v,47
1573,Iggy Pop,50,u,46
1574,Angie Stone,4,u,46
1575,Betty Davis,11,u,46
1576,Lamont Dozier,4,u,46
1577,Cissy Houston,8,u,46
1578,Lalah Hathaway,10,u,46
1579,Jamiroquai,9,u,46
1580,Lenny Kravitz,11,u,46
1581,Ashford & Simpson,4,u,46
1582,Willie Mitchell,7,u,46
1583,Regina Belle,6,u,46
1584,The Undisputed Truth,4,u,46
1585,Frankie Lymon,11,u,46
1586,Jan & Dean,9,u,46
1587,Davy Graham,26,u,46
1588,The Associates,6,u,46
1589,The Damned,45,Y,24
1590,Hot Water Music,7,u,46
1591,Pegboy,7,u,46
1592,Screeching Weasel,8,a,26
1593,Naked Raygun,6,u,46
1594,Operation Ivy,21,T,19
1595,The Offspring,10,u,46
1596,Avail,7,h,33
1597,Propagandhi,4,h,33
1598,Faces,32,u,46
1599,The Bluetones,0,u,46
1600,Pulp,10,u,46
1601,Soilwork,0,u,46
1602,Meshuggah,4,u,46
1603,Entombed,9,a,26
1604,Survivor,0,u,46
1605,Journey,22,u,46
1606,Sonny Stitt,15,u,46
1607,Fats Navarro,14,v,47
1608,Blind Boy Fuller,7,v,47
1609,Sonny Terry,3,v,47
1610,Big Walter Horton,4,v,47
1611,Sonny Boy Williamson I,8,v,47
1612,The Ataris,0,B,1
1613,Face to Face,5,B,1
1614,Barenaked Ladies,15,u,46
1615,Less Than Jake,8,Q,16
1616,Weezer,40,u,46
1617,Pennywise,17,B,1
1618,NOFX,29,B,1
1619,Built to Spill,7,u,46
1620,Lagwagon,8,P,15
1621,Down by Law,2,u,46
1622,Richard Hell,13,I,8
1623,The Vandals,15,u,46
1624,Johnny Otis,10,v,47
1625,Songs: Ohia,2,h,33
1626,"Bonnie ""Prince"" Billy",4,u,46
1627,Red House Painters,13,u,46
1628,Swell,1,u,46
1629,Steve Roach,2,u,46
1630,Cluster,8,u,46
1631,Popol Vuh,9,v,47
1632,The Black Dahlia Murder,0,u,46
1633,Morbid Angel,9,u,46
1634,Audioslave,2,u,46
1635,Screaming Trees,11,u,46
1636,Mudhoney,14,u,46
1637,Green River,4,u,46
1638,The Sound,2,u,46
1639,Andrew W.K.,0,Z,25
1640,Europe,5,u,46
1641,Obituary,1,a,26
1642,Foreigner,13,u,46
1643,Nino Rota,7,v,47
1644,Angelo Badalamenti,5,v,47
1645,Bernard Herrmann,16,v,47
1646,Solange,0,u,46
1647,Patrice Rushen,3,u,46
1648,The Kingston Trio,21,u,46
1649,The Blues Project,5,u,46
1650,Incubus,9,u,46
1651,Audiovent,0,u,46
1652,The Beta Band,2,u,46
1653,The Incredible String Band,22,u,46
1654,Beck,27,u,46
1655,Moby,6,u,46
1656,Jethro Tull,14,u,46
1657,The Chantels,12,v,47
1658,Angel,0,u,46
1659,Jerry Lewis,2,v,47
1660,Steve Martin,10,u,46
1661,Richard Pryor,9,u,46
1662,Monty Python,2,v,47
1663,George Carlin,12,u,46
1664,The Smothers Brothers,4,u,46
1665,Susan Tedeschi,2,u,46
1666,Koko Taylor,6,u,46
1667,Big Brother & the Holding Company,7,u,46
1668,Robert Cray,4,u,46
1669,Junior Wells,9,u,46
1670,Groove Armada,4,u,46
1671,The Avalanches,2,u,46
1672,DJ Shadow,18,u,46
1673,The Spinners,19,u,46
1674,The Dave Clark Five,15,u,46
1675,Roy Orbison,47,u,46
1676,Steven Curtis Chapman,7,u,46
1677,Keith Green,5,u,46
1678,Michael W. Smith,15,u,46
1679,Angela McCluskey,0,o,40
1680,Macy Gray,3,u,46
1681,Sandy Denny,13,u,46
1682,Beth Orton,21,J,9
1683,Malvina Reynolds,8,v,47
1684,Steve Wariner,11,u,46
1685,Chet Atkins,42,v,47
1686,Charley Pride,12,u,46
1687,Don Williams,18,u,46
1688,Marilyn Monroe,12,u,46
1689,The Shirelles,20,u,46
1690,The Music Machine,8,u,46
1691,The Chocolate Watchband,6,u,46
1692,Nico,22,u,46
1693,Beth Hart,1,u,46
1694,Swell Maps,10,u,46
1695,J.B. Lenoir,12,v,47
1696,Otis Rush,26,u,46
1697,Celia Cruz,21,v,47
1698,Angela Carrasco,0,v,47
1699,Bill Monroe,59,v,47
1700,The Louvin Brothers,28,v,47
1701,Doc Watson,23,u,46
1702,Leo Kottke,7,u,46
1703,John Renbourn,6,u,46
1704,John Fahey,21,u,46
1705,Bukka White,8,v,47
1706,Burl Ives,21,v,47
1707,Grant Green,7,u,46
1708,Sweetback,0,u,46
1709,Otis Spann,12,v,47
1710,Branford Marsalis,0,u,46
1711,Jackie McLean,8,u,46
1712,Joe Henderson,6,u,46
1713,Los Lobos,7,i,34
1714,Steve Vai,2,u,46
1715,Eddie Van Halen,6,u,46
1716,John McLaughlin,10,u,46
1717,Robert Fripp,20,u,46
1718,Al Di Meola,3,u,46
1719,The Mars Volta,1,f,31
1720,Egg,2,u,46
1721,Shuggie Otis,9,u,46
1722,Billy Cobham,4,u,46
