Id,Label,timeset,weight,color,modularity_class
830,Buffy Sainte-Marie,,11,u,3
831,Phoebe Snow,,10,u,1
832,Odetta,,25,v,3
833,The Action,,10,u,9
834,Small Faces,,30,u,2
835,The Move,,25,u,2
836,The Zombies,,55,c,2
837,The Blue Nile,,7,u,2
838,Alpha,,1,G,2
839,Jimmy Webb,,14,u,3
840,Portishead,,27,H,2
841,New Order,,74,u,2
842,Ennio Morricone,,30,v,2
843,James Cotton,,9,u,0
844,Paul Gonsalves,,0,u,6
845,Ben Webster,,19,v,6
846,King Tubby,,26,u,13
847,Alpha Blondy,,9,u,13
848,Barrington Levy,,12,u,13
849,Gregory Isaacs,,20,u,13
850,Peter Tosh,,35,S,13
851,Burning Spear,,15,u,13
852,Sly & Robbie,,18,u,13
853,"Lee ""Scratch"" Perry",,48,O,2
854,Junior Murvin,,7,u,13
855,Tenacious D,,0,u,8
856,Dio,,18,u,8
857,Guns N' Roses,,31,u,8
858,Ween,,10,u,2
859,Ronnie James Dio,,2,v,8
860,Neil Diamond,,20,u,3
861,Sixpence None the Richer,,3,u,3
862,The Innocence Mission,,4,u,3
863,The La's,,5,u,2
864,Cowboy Junkies,,10,u,3
865,"10,000 Maniacs",,14,u,3
866,The Sundays,,6,u,2
867,The Cranberries,,3,u,3
868,Gladys Knight,,36,u,1
869,Patti LaBelle,,26,u,1
870,The Shangri-Las,,32,u,1
871,The Ronettes,,27,u,1
872,Darlene Love,,4,v,1
873,Tina Turner,,27,u,1
874,Doris Troy,,7,u,1
875,Ruth Brown,,22,u,1
876,Lorraine Ellison,,7,u,1
877,Sly & the Family Stone,,67,u,9
878,Terence Trent D'Arby,,13,u,9
879,Billy Preston,,11,u,9
880,Al Green,,78,u,9
881,Commodores,,13,u,9
882,Cameo,,16,u,9
883,Teresa Brewer,,0,v,1
884,Patti Austin,,11,u,1
885,Eartha Kitt,,9,v,1
886,Tammi Terrell,,8,u,1
887,Carmen McRae,,13,u,1
888,Dinah Washington,,45,u,1
889,Nancy Wilson,,10,u,1
890,Quincy Jones,,31,u,9
891,Shirley Bassey,,12,u,1
892,Patti LuPone,,1,u,1
893,Ethel Merman,,9,v,1
894,Liza Minnelli,,11,u,1
895,Julie Andrews,,10,v,1
896,Kenny Clarke,,7,v,6
897,Paul Motian,,1,u,6
898,Joe Lovano,,4,u,6
899,Roy Haynes,,11,u,6
900,Bill Evans,,37,u,6
901,Philly Joe Jones,,11,v,6
902,Roger,,6,u,9
903,Teddy Riley,,8,u,9
904,Kim Weston,,5,u,1
905,Janis Ian,,10,u,3
906,Rufus,,11,u,9
907,Mary Wells,,20,u,1
908,Linda Jones,,2,v,1
909,Mike Oldfield,,16,u,2
910,Paul Hardcastle,,0,u,2
911,Paradise Lost,,0,u,8
912,Witchfinder General,,5,u,8
913,Bolt Thrower,,2,u,8
914,The Housemartins,,9,u,2
915,Stars,,0,u,2
916,The House of Love,,9,u,2
917,The Cure,,80,u,2
918,Pet Shop Boys,,25,u,2
919,The Lemonheads,,9,u,2
920,Thompson Twins,,9,u,2
921,Belly,,2,u,2
922,Saint Etienne,,17,u,2
923,The Human League,,28,u,2
924,Stars of the Lid,,0,u,2
925,Bette Midler,,16,u,1
926,Engelbert Humperdinck,,13,u,1
927,"Lambert, Hendricks & Ross",,7,u,1
928,Pat Boone,,14,u,0
929,Peter Allen,,1,v,1
930,Neil Sedaka,,15,u,1
931,Mel TormÃ©,,18,v,1
932,Paul Anka,,8,u,1
933,Steve Lawrence,,4,u,1
934,Frankie Valli,,5,u,1
935,Liberace,,7,u,6
936,Tad,,0,u,2
937,Ambrosia,,0,u,8
938,Crystal Gayle,,21,u,5
939,Jeannie C. Riley,,7,u,5
940,Kathy Mattea,,10,u,5
941,Reba McEntire,,20,u,5
942,Hazel Dickens,,11,v,5
943,Delbert McClinton,,8,u,0
944,Juice Newton,,6,u,5
945,June Carter Cash,,11,u,5
946,The Lovin' Spoonful,,21,u,3
947,The Hollies,,45,l,2
948,"Peter, Paul and Mary",,10,u,3
949,John Sebastian,,6,u,3
950,Dillard & Clark,,6,u,5
951,...And You Will Know Us by the Trail of Dead,,0,u,2
952,Television,,50,u,2
953,Swans,,11,h,2
954,The Birthday Party,,13,u,2
955,Blonde Redhead,,6,p,2
956,Unwound,,1,u,2
957,Mission of Burma,,23,u,2
958,Butthole Surfers,,15,u,8
959,Slint,,13,u,2
960,Elvin Jones,,15,u,6
961,Shelly Manne,,5,u,6
962,Don Lamond,,1,v,6
963,John Cale,,14,u,2
964,Lou Reed,,58,l,2
965,Roky Erickson,,9,P,0
966,The 13th Floor Elevators,,20,A,0
967,Albert Ayler,,12,u,6
968,The Fugs,,24,A,2
969,Brandy,,22,u,1
970,Amerie,,1,u,1
971,Skunk Anansie,,0,u,2
972,Chumbawamba,,5,u,2
973,Tears for Fears,,10,u,2
974,Bauhaus,,20,u,2
975,Van der Graaf Generator,,14,u,2
976,Slade,,29,u,8
977,Kate Bush,,36,u,3
978,Ray Barretto,,7,u,7
979,Sheila E.,,0,u,7
980,Mongo Santamaria,,14,v,7
981,Willie Bobo,,3,u,7
982,Sky,,0,u,6
983,Slim Harpo,,23,u,0
984,B.B. King,,54,u,0
985,Jimmy Reed,,55,u,0
986,Howlin' Wolf,,99,v,0
987,"Bobby ""Blue"" Bland",,21,u,9
988,Teddy Pendergrass,,35,u,9
989,Jimmy Witherspoon,,9,v,9
990,Jackie Wilson,,54,u,9
991,Clarence Carter,,5,u,9
992,Ben E. King,,20,u,9
993,Eddie Floyd,,8,l,9
994,Johnnie Taylor,,8,u,9
995,Lou Rawls,,13,A,9
996,O.V. Wright,,12,u,9
997,Percy Sledge,,12,u,9
998,Tom Lehrer,,8,v,3
999,Shel Silverstein,,5,A,3
1000,Slim Gaillard,,16,v,9
1001,Bob Wills,,40,v,5
1002,Tennessee Ernie Ford,,7,v,5
1003,Merle Travis,,14,v,0
1004,Louis Jordan,,53,v,9
1005,Jack Johnson,,9,u,3
1006,Slightly Stoopid,,0,u,14
1007,G. Love & Special Sauce,,8,h,3
1008,Descendents,,35,u,14
1009,The Suicide Machines,,5,e,14
1010,The Toasters,,8,u,14
1011,Sublime,,15,f,14
1012,Agent Orange,,5,u,14
1013,Dead Kennedys,,34,u,14
1014,Sizzla,,1,u,13
1015,Shabba Ranks,,13,u,13
1016,Cocoa Tea,,7,u,13
1017,UB40,,8,u,13
1018,Richie Spice,,5,u,13
1019,Yellowman,,13,u,13
1020,Ziggy Marley,,5,u,13
1021,Beenie Man,,7,S,13
1022,Freddie McGregor,,4,u,13
1023,Shelby Lynne,,4,u,5
1024,Sheryl Crow,,17,u,3
1025,Billy Joe Royal,,3,u,9
1026,Carlene Carter,,7,u,5
1027,Lyle Lovett,,7,A,5
1028,Janis Joplin,,35,u,1
1029,Nanci Griffith,,9,u,5
1030,Melissa Etheridge,,11,u,3
1031,k.d. lang,,3,u,5
1032,Bon Jovi,,16,u,8
1033,Slaughter,,0,u,8
1034,David Lee Roth,,16,u,8
1035,Whitesnake,,7,u,8
1036,Sammy Hagar,,14,u,8
1037,Paul Collins,,3,u,2
1038,Tommy James & the Shondells,,7,u,2
1039,Yaz,,10,u,2
1040,Amber,,0,u,2
1041,Booker Little,,5,u,6
1042,Terence Blanchard,,0,u,6
1043,Lee Morgan,,8,u,6
1044,Woody Shaw,,6,u,6
1045,Clifford Brown,,15,u,6
1046,Freddie Hubbard,,14,u,6
1047,Eric Dolphy,,13,u,6
1048,Art Blakey,,36,v,6
1049,Wynton Marsalis,,3,u,6
1050,Doris Day,,11,u,1
1051,Shelley Fabares,,1,u,1
1052,Trick Pony,,0,u,5
1053,Lonestar,,3,u,5
1054,Restless Heart,,6,u,5
1055,Toby Keith,,10,u,5
1056,Bruce Springsteen,,70,u,0
1057,Willie Nelson,,66,u,5
1058,Tim McGraw,,22,u,5
1059,Highway 101,,1,u,5
1060,Joe Diffie,,1,u,5
1061,Alabama,,31,u,5
1062,Buck Owens,,42,u,5
1063,Slash,,2,j,0
1064,Eddie Hazel,,6,u,0
1065,Johnny Thunders,,8,d,0
1066,Rory Gallagher,,8,u,0
1067,Mick Ronson,,4,u,0
1068,Shenandoah,,6,u,5
1069,The Oak Ridge Boys,,11,v,5
1070,Stephen Malkmus,,0,u,2
1071,The Flying Burrito Brothers,,37,u,5
1072,Bert Jansch,,26,u,3
1073,Sleep,,6,u,8
1074,Celtic Frost,,18,u,8
1075,Pentagram,,11,u,8
1076,Hawkwind,,21,u,8
1077,Ani DiFranco,,14,u,3
1078,Tegan and Sara,,0,u,3
1079,Concrete Blonde,,9,u,2
1080,Ben Folds,,19,u,3
1081,Fiona Apple,,22,u,3
1082,Mary Margaret O'Hara,,2,u,3
1083,The Tragically Hip,,5,u,2
1084,Bratmobile,,4,u,2
1085,Throwing Muses,,10,u,2
1086,Dave Van Ronk,,22,u,3
1087,Chuck Mangione,,10,u,6
1088,Chet Baker,,21,u,6
1089,Maynard Ferguson,,3,v,6
1090,Art Farmer,,4,u,6
1091,Cannonball Adderley,,26,u,6
1092,Herb Alpert,,6,u,6
1093,Herbie Mann,,9,u,6
1094,Tribal Tech,,0,u,6
1095,Jean-Luc Ponty,,3,u,6
1096,Mahavishnu Orchestra,,15,u,6
1097,Weather Report,,17,u,6
1098,Return to Forever,,7,u,6
1099,Discharge,,12,u,14
1100,Saxon,,11,u,8
1101,Angel Witch,,3,u,8
1102,Fear,,10,u,14
1103,Patty Griffin,,7,u,3
1104,Bruce Cockburn,,12,u,3
1105,Arlo Guthrie,,7,u,3
1106,Daniel Lanois,,4,u,3
1107,Dave Matthews Band,,18,u,3
1108,Kreator,,5,u,8
1109,Amon Amarth,,0,u,8
1110,Bathory,,14,u,8
1111,Percy Faith,,3,v,7
1112,Paul Mauriat,,0,v,7
1113,Ten Foot Pole,,0,u,14
1114,Temple of the Dog,,2,u,8
1115,Hoyt Axton,,11,V,5
1116,? & the Mysterians,,17,j,0
1117,The Troggs,,13,d,0
1118,The Standells,,12,l,0
1119,Don Covay,,16,l,9
1120,Death,,14,u,8
1121,Terrorizer,,0,u,8
1122,Steps Ahead,,0,u,6
1123,The KLF,,6,u,2
1124,Stereo MC's,,0,u,2
1125,808 State,,22,u,2
1126,Dottie West,,4,u,5
1127,Shelly West,,0,u,5
1128,Stephen Bishop,,0,u,3
1129,Bread,,14,u,3
1130,Ted Hawkins,,0,u,9
1131,Paul Rodgers,,0,v,0
1132,10cc,,15,u,2
1133,Sherbet,,0,u,2
1134,Ken Boothe,,16,u,13
1135,Stephen Marley,,0,u,13
1136,Rita Marley,,6,u,1
1137,John Holt,,19,T,13
1138,Dennis Brown,,15,u,13
1139,Bunny Wailer,,17,T,13
1140,Amon Tobin,,0,u,7
1141,Eddie Palmieri,,12,u,7
1142,Tom ZÃ©,,8,u,7
1143,Shirley Collins,,13,u,3
1144,Alan Lomax,,10,v,3
1145,Amy Grant,,16,u,5
1146,Melissa Manchester,,2,u,3
1147,Debby Boone,,2,u,5
1148,Gov't Mule,,2,u,0
1149,Tea Leaf Green,,0,u,0
1150,Hot Tuna,,10,u,0
1151,Phish,,12,u,0
1152,Skindred,,0,u,8
1153,Gang of Four,,41,u,2
1154,The Police,,51,u,2
1155,Kraftwerk,,108,u,2
1156,Trio,,3,u,2
1157,Soul II Soul,,9,u,9
1158,Grace Jones,,9,u,1
1159,Depeche Mode,,49,u,2
1160,Neneh Cherry,,13,u,1
1161,The Specials,,28,S,14
1162,Siouxsie and the Banshees,,39,u,2
1163,Slave,,3,u,9
1164,Parliament,,48,u,9
1165,Larry Levan,,12,v,2
1166,Shep Pettibone,,2,v,2
1167,Tom Moulton,,2,v,2
1168,Falco,,7,u,2
1169,Technotronic,,1,u,2
1170,Kirk Whalum,,3,u,6
1171,Steve Cole,,0,u,6
1172,David Sanborn,,7,u,6
1173,"Grover Washington, Jr.",,13,u,6
1174,The Apples in Stereo,,4,u,2
1175,Kaleidoscope,,2,v,2
1176,The Turtles,,14,u,2
1177,XTC,,33,u,2
1178,Silver Apples,,25,l,2
1179,The Left Banke,,21,u,2
1180,Van Dyke Parks,,13,O,3
1181,Sebadoh,,24,u,2
1182,My Bloody Valentine,,51,u,2
1183,Terrance Simien,,0,u,9
1184,Sleater-Kinney,,7,n,2
1185,Babes in Toyland,,7,u,2
1186,L7,,6,u,8
1187,Courtney Love,,3,u,2
1188,Delta 5,,4,u,2
1189,The Slits,,14,u,2
1190,X-Ray Spex,,15,u,2
1191,Bikini Kill,,9,u,2
1192,The Go-Betweens,,13,u,2
1193,Elastica,,11,m,2
1194,Elliott Smith,,28,h,3
1195,Andrew Bird,,3,h,2
1196,Eels,,12,h,2
1197,Morphine,,1,A,2
1198,StÃ©phane Grappelli,,9,v,5
1199,Skid Row,,3,u,8
1200,Cheap Trick,,56,u,2
1201,MÃ¶tley CrÃ¼e,,27,u,8
1202,Loverboy,,6,u,8
1203,Quiet Riot,,6,u,8
1204,Hanoi Rocks,,11,u,8
1205,Terry Allen,,7,u,5
1206,Gary Stewart,,13,u,5
1207,Doug Sahm,,9,A,0
1208,Ramblin' Jack Elliott,,29,v,3
1209,Buddy Holly,,97,j,0
1210,Townes Van Zandt,,30,u,5
1211,John Prine,,25,u,5
1212,Stereolab,,16,u,2
1213,Steve Reich,,24,v,2
1214,The Free Design,,9,u,2
1215,Chrome,,14,u,2
1216,Cocteau Twins,,40,u,2
1217,Serge Gainsbourg,,22,u,2
1218,FranÃ§oise Hardy,,9,u,1
1219,The Rockets,,2,u,2
1220,Martin Denny,,7,u,7
1221,Neu!,,29,u,2
1222,Os Mutantes,,15,u,7
1223,Yoko Ono,,10,I,2
1224,Arthur Lyman,,3,u,7
1225,Cabaret Voltaire,,22,u,2
1226,Can,,51,u,2
1227,Henry Mancini,,19,v,6
1228,The Association,,10,u,1
1229,China Crisis,,2,u,2
1230,France Gall,,5,u,1
1231,Philip Glass,,13,u,2
1232,Brigitte Fontaine,,2,u,2
1233,Skin Yard,,0,u,2
1234,Bob Seger,,22,d,0
1235,Paula Cole,,2,u,3
1236,Christine McVie,,5,u,3
1237,Jane Siberry,,6,u,3
1238,Suzanne Vega,,22,u,3
1239,SinÃ©ad O'Connor,,13,u,3
1240,Smokie Norful,,2,u,9
1241,Kirk Franklin,,11,u,9
1242,BeBe & CeCe Winans,,6,u,9
1243,Donny Hathaway,,31,u,9
1244,The Staple Singers,,16,u,9
1245,Terry Stafford,,0,u,0
1246,Paulina Rubio,,5,t,1
1247,VerÃ³nica Castro,,2,v,1
1248,Lucia Mendez,,1,v,1
1249,Ana Gabriel,,2,u,1
1250,Sleeping at Last,,0,p,2
1251,BjÃ¶rk,,43,l,2
1252,Terry Callier,,12,J,9
1253,Wayne Shorter,,9,u,6
1254,Pete Seeger,,47,v,3
1255,Pharoah Sanders,,10,u,6
1256,The New Lost City Ramblers,,7,v,5
1257,"Oscar Brown, Jr.",,10,A,9
1258,Shinedown,,5,u,8
1259,Saliva,,3,u,8
1260,Jerry Cantrell,,11,u,8
1261,Lester Young,,51,v,6
1262,Paul Quinichette,,0,v,6
1263,Magic Sam,,8,u,0
1264,Jimmy Rogers,,6,v,0
1265,Willie Dixon,,37,v,0
1266,Slim Smith,,1,u,13
1267,Sneaker Pimps,,10,F,2
1268,Everything But the Girl,,19,u,2
1269,Primal Scream,,19,u,2
1270,Orchestral Manoeuvres in the Dark,,22,u,2
1271,The Modern Jazz Quartet,,8,u,6
1272,The 5th Dimension,,16,u,1
1273,Johnny Rivers,,4,V,0
1274,Sloan,,6,u,2
1275,The 88,,0,u,2
1276,Terry Jacks,,0,u,2
1277,Smokey Robinson & the Miracles,,15,u,9
1278,Larry Williams,,6,v,9
1279,Sam & Dave,,25,u,9
1280,The Temptations,,55,u,9
1281,Slim Whitman,,6,v,5
1282,Roy Rogers,,18,v,5
1283,Trixter,,0,u,8
1284,Smash Mouth,,0,u,14
1285,Billy Idol,,9,u,8
1286,Green Day,,65,B,14
1287,Madness,,25,T,14
1288,The English Beat,,17,T,14
1289,INXS,,16,u,9
1290,Joe Jackson,,16,u,14
1291,Shocking Blue,,1,u,8
1292,Terry Reid,,6,u,9
1293,Steve Winwood,,16,u,9
1294,Robert Wyatt,,18,u,2
1295,Rod Stewart,,29,u,9
1296,Tim Hardin,,31,j,3
1297,Tim Buckley,,25,u,3
1298,Cal Tjader,,9,u,6
1299,Frankie Miller,,2,v,5
1300,Ronnie Lane,,9,u,9
1301,Mick Jagger,,17,d,9
1302,Wings,,7,l,0
1303,Tesla,,10,u,8
1304,Billy Squier,,16,u,8
1305,Rainbow,,19,u,8
1306,Ace Frehley,,4,j,0
1307,Mott the Hoople,,29,l,8
1308,UFO,,10,u,8
1309,Peggy Lee,,29,v,1
1310,Nelson Riddle,,5,v,1
1311,Anita O'Day,,17,v,1
1312,Keely Smith,,9,v,1
1313,Lena Horne,,22,v,1
1314,Fats Domino,,51,v,9
1315,The Marvelettes,,13,u,1
1316,Carl Perkins,,51,v,0
1317,Eddie Cochran,,43,v,0
1318,Gene Vincent,,36,l,0
1319,Free,,32,u,8
1320,Joe Tex,,9,u,9
1321,The Spencer Davis Group,,5,u,9
1322,The Rubinoos,,4,u,2
1323,Jellyfish,,11,u,2
1324,The Plimsouls,,3,u,2
1325,The Soft Boys,,14,u,2
1326,The Wedding Present,,7,u,2
1327,Johnny Mandel,,3,v,6
1328,AndrÃ© Previn,,0,u,6
1329,Oscar Peterson,,26,u,6
1330,Slowdive,,6,u,2
1331,The Durutti Column,,14,u,2
1332,The Primitives,,1,u,2
1333,Pale Saints,,3,u,2
1334,Talk Talk,,23,u,2
1335,Shirley Horn,,4,u,1
1336,Maxine Sullivan,,8,v,1
1337,Tevin Campbell,,7,u,9
1338,Babyface,,24,u,9
1339,Al B. Sure!,,14,u,9
1340,The O'Jays,,24,u,9
1341,Jim Morrison,,4,u,0
1342,Roy Hamilton,,3,v,9
1343,Nat King Cole,,65,v,9
1344,James Cleveland,,17,v,9
1345,Johnny Ace,,12,u,9
1346,Craig Armstrong,,3,u,6
1347,Steve Jablonsky,,0,u,6
1348,AndraÃ© Crouch,,16,u,9
1349,Procol Harum,,17,u,8
1350,Sodom,,6,u,8
1351,Thin Lizzy,,40,u,8
1352,Accept,,8,u,8
1353,KC & the Sunshine Band,,9,u,9
1354,Anastacia,,1,t,1
1355,Destiny's Child,,16,u,1
1356,Jennifer Lopez,,9,t,1
1357,Annie Lennox,,18,u,1
1358,ABBA,,26,u,1
1359,The Jam,,43,u,2
1360,J.J. Cale,,15,V,0
1361,The Monkees,,20,u,0
1362,Blur,,20,u,2
1363,Smog,,7,u,3
1364,Nick Drake,,60,u,3
1365,R. Stevie Moore,,2,u,2
1366,Michael Hurley,,6,u,3
1367,Daniel Johnston,,15,u,2
1368,Simian,,0,u,2
1369,Mercury Rev,,14,u,2
1370,Air,,13,u,2
1371,The United States of America,,4,u,2
1372,The Everly Brothers,,53,u,0
1373,Ladysmith Black Mambazo,,5,u,1
1374,Jackson C. Frank,,13,u,3
1375,Fela Kuti,,23,u,2
1376,Fred Neil,,37,v,3
1377,Johnny Maestro,,1,v,3
1378,Dion,,17,u,1
1379,The Righteous Brothers,,13,u,9
1380,The Moonglows,,18,v,1
1381,Miriam Makeba,,10,v,1
1382,Milton Nascimento,,13,u,7
1383,The Cadillacs,,9,u,1
1384,Youssou N'Dour,,5,u,1
1385,King Sunny Ade,,4,v,2
1386,Andy Gibb,,0,u,2
1387,Snot,,0,u,8
1388,Smoke City,,0,o,7
1389,Maria BethÃ¢nia,,5,u,7
1390,Gilberto Gil,,7,u,7
1391,Iris DeMent,,4,u,5
1392,The Be Good Tanyas,,0,u,5
1393,Uncle Tupelo,,19,u,5
1394,Jean Ritchie,,14,v,3
1395,The Beat,,0,u,13
1396,Software,,0,u,2
1397,Wynona Carr,,2,v,1
1398,Dorothy Norwood,,2,v,1
1399,Tex Williams,,4,v,5
1400,Robyn,,4,t,1
1401,Sophie Ellis-Bextor,,0,u,1
1402,Susan Ashton,,0,u,9
1403,Phil Ochs,,20,u,3
1404,Steve Goodman,,9,u,3
1405,Tom Rush,,7,v,3
1406,Woody Guthrie,,80,v,3
1407,Jerry Jeff Walker,,9,u,5
1408,Triumph,,3,u,8
1409,Grand Funk Railroad,,28,u,8
1410,Wishbone Ash,,14,u,8
1411,Paul Thorn,,0,u,5
1412,Texas,,4,u,2
1413,Ry Cooder,,12,u,0
1414,Aztec Camera,,9,u,2
1415,Son Seals,,1,u,0
1416,Earl Hooker,,5,v,0
1417,"Johnny ""Guitar"" Watson",,12,v,0
1418,The Beautiful South,,3,u,2
1419,Electric Light Orchestra,,27,u,2
1420,Morrissey,,23,u,2
1421,Bobby Womack,,23,u,9
1422,Roy Brown,,34,v,9
1423,Kenny Chesney,,15,u,5
1424,Andy Griggs,,0,u,5
1425,Mark Chesnutt,,2,u,5
1426,Billy Dean,,2,u,5
1427,Montgomery Gentry,,1,u,5
1428,Suzi Quatro,,7,u,2
1429,Tommy Roe,,8,u,0
1430,Gary Glitter,,9,u,2
1431,Super Cat,,6,u,13
1432,Horace Andy,,14,u,13
1433,I-Roy,,6,T,13
1434,Buju Banton,,6,u,13
1435,Supertramp,,4,u,2
1436,Barclay James Harvest,,5,u,8
1437,Siedah Garrett,,0,u,9
1438,Andy Kim,,1,v,0
1439,The Archies,,11,u,0
1440,The Crystals,,6,v,2
1441,Little Eva,,3,v,0
1442,The Chills,,2,u,2
1443,Superchunk,,13,u,14
1444,Let's Active,,4,u,2
1445,HÃ¼sker DÃ¼,,49,u,14
1446,The Undertones,,12,u,14
1447,Steve Earle,,20,u,5
1448,Joe Ely,,13,u,5
1449,John Anderson,,12,u,5
1450,Jessi Colter,,5,u,5
1451,NRBQ,,13,u,0
1452,The Pogues,,17,h,3
1453,Tom T. Hall,,16,u,5
1454,Guy Clark,,19,u,5
1455,Levon Helm,,11,j,0
1456,Paul Young,,0,u,9
1457,Billy Paul,,8,u,9
1458,Joe Cocker,,10,P,9
1459,ABC,,13,u,9
1460,Harold Melvin & the Blue Notes,,7,u,9
1461,Ann Peebles,,17,u,1
1462,Erroll Garner,,22,v,6
1463,Andrew Hill,,4,u,6
1464,Barry Harris,,3,u,6
1465,The Flamingos,,20,v,1
1466,The Belmonts,,0,u,1
1467,The Clovers,,15,v,1
1468,The Duprees,,1,u,1
1469,The Skyliners,,1,v,1
1470,The Fleetwoods,,7,u,1
1471,Paw,,0,u,8
1472,King Missile,,8,u,3
1473,Talking Heads,,68,u,2
1474,They Might Be Giants,,24,A,2
1475,Warren Zevon,,9,A,3
1476,Violent Femmes,,16,u,2
1477,Suicide,,42,u,2
1478,Wire,,60,u,2
1479,Throbbing Gristle,,23,u,2
1480,DNA,,4,u,2
1481,The Four Aces,,1,v,1
1482,The Ink Spots,,21,v,1
1483,The Mills Brothers,,35,v,1
1484,Barry White,,30,u,9
1485,Hot Chocolate,,7,u,9
1486,Roy Ayers,,10,u,9
1487,Gil Scott-Heron,,13,A,9
1488,Peabo Bryson,,9,u,9
1489,Enchantment,,1,v,9
1490,Johnny Mathis,,22,u,1
1491,Maria Muldaur,,6,u,1
1492,Mavis Staples,,3,u,1
1493,Hank Snow,,19,v,5
1494,Big Mama Thornton,,13,v,1
1495,LaVern Baker,,11,u,1
1496,Sick of It All,,11,u,8
1497,Minor Threat,,47,u,14
1498,Murphy's Law,,2,u,14
1499,Agnostic Front,,15,u,14
1500,Gorilla Biscuits,,6,u,14
1501,Sonny & Cher,,5,u,1
1502,Peaches & Herb,,1,u,1
1503,Steve Harley,,3,u,0
1504,Billy Fury,,11,u,0
1505,Shriekback,,1,u,2
1506,Andy Black,,1,X,8
1507,Shonen Knife,,4,u,2
1508,Joan Jett & the Blackhearts,,3,v,2
1509,Jonathan Richman,,18,u,2
1510,The Go-Go's,,6,u,2
1511,Shooter Jennings,,0,u,5
1512,Dire Straits,,18,u,0
1513,Robert Earl Keen,,10,u,5
1514,Silk,,0,u,9
1515,Jodeci,,27,u,9
1516,Full Force,,5,u,9
1517,Montell Jordan,,8,u,9
1518,Smoking Popes,,6,a,14
1519,7 Seconds,,16,C,14
1520,The Cars,,38,u,2
1521,Big Black,,17,u,2
1522,Queen,,77,l,8
1523,Ric Ocasek,,7,u,2
1524,Steve Kuhn,,3,u,6
1525,Hank Jones,,10,v,6
1526,George Shearing,,11,u,6
1527,Cecil Taylor,,8,u,6
1528,Marty Robbins,,21,u,5
1529,Sonny James,,0,u,5
1530,Jim Reeves,,20,v,5
1531,Sonny Clark,,1,v,6
1532,Sonny Sharrock,,3,u,6
1533,Ornette Coleman,,45,u,6
1534,The Bellamy Brothers,,0,u,5
1535,The Statler Brothers,,5,u,5
1536,Brewer & Shipley,,1,v,5
1537,Perry Como,,15,v,1
1538,Steve Tyrell,,0,v,1
1539,Hamza el Din,,8,v,6
1540,Bad Company,,31,u,8
1541,Dead Boys,,10,u,8
1542,Dead Moon,,6,l,0
1543,Minutemen,,18,u,14
1544,Hurt,,4,u,8
1545,Victor Jara,,2,v,7
1546,Silvio RodrÃ­guez,,2,v,7
1547,Andy MontaÃ±ez,,3,v,7
1548,The Alarm,,0,u,14
1549,The Bats,,1,u,2
1550,Split Enz,,13,u,2
1551,The Bobby Fuller Four,,5,u,0
1552,Social Distortion,,19,u,14
1553,D.O.A.,,8,u,14
1554,Snow Patrol,,0,u,2
1555,Crash Test Dummies,,9,u,2
1556,The Cardigans,,11,u,2
1557,Coldplay,,31,u,2
1558,Mogwai,,3,u,2
1559,Allan Jones,,1,v,1
1560,Eydie Gorme,,2,u,1
1561,Frankie Laine,,6,v,1
1562,Vic Damone,,5,u,1
1563,Dean Martin,,26,v,1
1564,Johnnie Ray,,11,u,1
1565,Bobby Charles,,7,v,9
1566,Duane Eddy,,20,u,0
1567,Lefty Frizzell,,36,v,5
1568,Ronnie Hawkins,,4,u,0
1569,P.P. Arnold,,1,v,2
1570,Soft Cell,,13,u,2
1571,Shirley Ellis,,1,v,2
1572,Gloria Jones,,1,v,2
1573,Iggy Pop,,50,u,2
1574,Angie Stone,,4,u,1
1575,Betty Davis,,11,u,1
1576,Lamont Dozier,,4,u,9
1577,Cissy Houston,,8,u,1
1578,Lalah Hathaway,,10,u,1
1579,Jamiroquai,,9,u,9
1580,Lenny Kravitz,,11,u,9
1581,Ashford & Simpson,,4,u,1
1582,Willie Mitchell,,7,u,9
1583,Regina Belle,,6,u,1
1584,The Undisputed Truth,,4,u,9
1585,Frankie Lymon,,11,u,9
1586,Jan & Dean,,9,u,1
1587,Davy Graham,,26,u,3
1588,The Associates,,6,u,2
1589,The Damned,,45,Y,14
1590,Hot Water Music,,7,u,14
1591,Pegboy,,7,u,14
1592,Screeching Weasel,,8,a,14
1593,Naked Raygun,,6,u,14
1594,Operation Ivy,,21,T,14
1595,The Offspring,,10,u,14
1596,Avail,,7,h,14
1597,Propagandhi,,4,h,14
1598,Faces,,32,u,0
1599,The Bluetones,,0,u,2
1600,Pulp,,10,u,2
1601,Soilwork,,0,u,8
1602,Meshuggah,,4,u,8
1603,Entombed,,9,a,8
1604,Survivor,,0,u,8
1605,Journey,,22,u,8
1606,Sonny Stitt,,15,u,6
1607,Fats Navarro,,14,v,6
1608,Blind Boy Fuller,,7,v,0
1609,Sonny Terry,,3,v,0
1610,Big Walter Horton,,4,v,0
1611,Sonny Boy Williamson I,,8,v,0
1612,The Ataris,,0,B,14
1613,Face to Face,,5,B,14
1614,Barenaked Ladies,,15,u,2
1615,Less Than Jake,,8,Q,14
1616,Weezer,,40,u,14
1617,Pennywise,,17,B,14
1618,NOFX,,29,B,14
1619,Built to Spill,,7,u,2
1620,Lagwagon,,8,P,14
1621,Down by Law,,2,u,14
1622,Richard Hell,,13,I,2
